QID,WD_Titel,BiB_URL,BiB_Titel,LON,LAT
Q115750584,Singebewegung,https://bildhauerei-in-berlin.de/bildwerk/sitzende-7145/,Sitzende,13.468800,52.511023
Q115454643,Auskeilendes Eselfohlen,https://bildhauerei-in-berlin.de/bildwerk/auskeilendes-eselfohlen-8331/,Auskeilendes Eselfohlen,13.529615,52.501781
Q115457979,Zahnspinnerraupe,https://bildhauerei-in-berlin.de/bildwerk/zahnspinnerraupe-8329/,Zahnspinnerraupe,13.5259127,52.5038261
Q115435395,Kronenhirsch,https://bildhauerei-in-berlin.de/bildwerk/kronenhirsch-8335/,Kronenhirsch,13.5305714,52.5000086
