QID,WD_Titel,BiB_URL,BiB_Titel,LON,LAT
Q111590691,Büste Inge Keller,https://bildhauerei-in-berlin.de/bildwerk/inge-keller-9591/,Inge Keller,13.384312,52.527822
Q110615513,Eisentirade,https://bildhauerei-in-berlin.de/bildwerk/eisentirade-5617/,Eisentirade,13.346275,52.462984
Q111015238,Die Sinnende,https://bildhauerei-in-berlin.de/bildwerk/die-sinnende-8551/,Die Sinnende,13.5297382,52.5031461
Q110820281,Rotation,https://bildhauerei-in-berlin.de/bildwerk/rotation-5080/,Rotation,13.345481,52.463488
