QID,WD_Titel,BiB_URL,BiB_Titel,LON,LAT
Q115366481,Säbelzahnkatze,https://bildhauerei-in-berlin.de/bildwerk/saebelzahnkatze-vor-150-000-jahren-ausgestorben-8360/,Säbelzahnkatze (vor 150.000 Jahren ausgestorben),,
Q115413693,Radschlagender Pfau,https://bildhauerei-in-berlin.de/bildwerk/radschlagender-pfau-8334/,Radschlagender Pfau,13.525050,52.505706
Q115406105,Jungbär,https://bildhauerei-in-berlin.de/bildwerk/jungbaer-8338/,Jungbär,13.531248,52.498909
Q115350247,Krauskopfpelikan,https://bildhauerei-in-berlin.de/bildwerk/krauskopfpelikan-8359/,Krauskopfpelikan,13.5290091,52.5063477
