QID,WD_Titel,BiB_URL,BiB_Titel,LON,LAT
Q115953339,Großer Turm,https://bildhauerei-in-berlin.de/bildwerk/grosser-turm-6280/,Großer Turm,13.354091,52.517239
Q116044985,La Bella,https://bildhauerei-in-berlin.de/bildwerk/la-bella-5619/,La Bella,13.346506,52.464001
Q116044133,Paar II,https://bildhauerei-in-berlin.de/bildwerk/paar-5635/,Paar,13.346339,52.462703
Q115908308,Brunnenplastik,https://bildhauerei-in-berlin.de/bildwerk/brunnenplastik-6504/,Brunnenplastik,13.2019313,52.5631187
