QID,WD_Titel,BiB_URL,BiB_Titel,LON,LAT
Q115463298,Riesenhirsch,https://bildhauerei-in-berlin.de/bildwerk/riesenhirsch-8322/,Riesenhirsch,13.5272,52.5034954
Q115459797,Fohlengruppe,https://bildhauerei-in-berlin.de/bildwerk/fohlengruppe-8324/,Fohlengruppe,13.5211413,52.4986332
Q115475052,Panther,https://bildhauerei-in-berlin.de/bildwerk/panther-8318/,Panther,13.5215598,52.5046161
Q115750478,Gitarrenspieler,https://bildhauerei-in-berlin.de/bildwerk/gitarrenspieler-7110/,Gitarrenspieler,13.436183,52.523611
