QID,WD_Titel,BiB_URL,BiB_Titel,LON,LAT
Q109865916,Pietà,https://bildhauerei-in-berlin.de/bildwerk/pieta-7233/,Pietà,13.255024,52.509958
Q1444384,Menschenlandschaft Berlin,https://bildhauerei-in-berlin.de/bildwerk/puppenruhe-5063/,Puppenruhe,13.442990,52.500863
Q109885197,Große Frauenstatue,https://bildhauerei-in-berlin.de/bildwerk/grosse-frauenstatue-7228/,Große Frauenstatue,13.255024,52.509958
Q1444384,Menschenlandschaft Berlin,https://bildhauerei-in-berlin.de/bildwerk/spazierengehende-frauen-4950/,Spazierengehende Frauen,13.443191,52.500814
