QID,WD_Titel,BiB_URL,BiB_Titel,LON,LAT
Q115959480,Große Flora Nr. 2,https://bildhauerei-in-berlin.de/bildwerk/grosse-flora-nr-6279/,Große Flora Nr. 2,13.354091,52.517239
Q116060522,Geteilte Form,https://bildhauerei-in-berlin.de/bildwerk/geteilte-form-5565/,Geteilte Form,13.307560,52.456481
Q116283040,Endspiel,https://bildhauerei-in-berlin.de/bildwerk/endspiel-5100/,Endspiel,13.346275,52.462984
Q116060363,Hingebung,https://bildhauerei-in-berlin.de/bildwerk/hingebung-5572/,Hingebung, 13.307560,52.456481
