QID,WD_Titel,BiB_URL,BiB_Titel,LON,LAT
Q110602105,Skulptur,https://bildhauerei-in-berlin.de/bildwerk/ohne-titel-5632/,ohne Titel,13.346339,52.462719
Q110610684,Paar,https://bildhauerei-in-berlin.de/bildwerk/paar-5623/,Paar,13.345476,52.463494
Q110605027,Mädchen von Yukatan,https://bildhauerei-in-berlin.de/bildwerk/maedchen-aus-yucatan-5627/,Mädchen aus Yucatan,13.346248,52.463487
Q110605215,Tutola,https://bildhauerei-in-berlin.de/bildwerk/tutola-5625/,Tutola,13.347225,52.464739
