QID,WD_Titel,BiB_URL,BiB_Titel,LON,LAT
Q2374831,Symposion europäischer Bildhauer 1961–1963,https://bildhauerei-in-berlin.de/bildwerk/sonne-4600/,Sonne,13.2801149,52.4553774
Q109877968,Herabschreitender,https://bildhauerei-in-berlin.de/bildwerk/herabschreitender-7232/,Herabschreitender,13.255024,52.509958
Q109714127,Knabe,https://bildhauerei-in-berlin.de/bildwerk/knabe-8332/,Knabe,13.5264068,52.5061571
Q109883519,Großer Stehender,https://bildhauerei-in-berlin.de/bildwerk/grosser-stehender-7227/,Großer Stehender,13.255024,52.509958
